,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_eve_minutes,total_eve_calls,total_night_minutes,total_night_calls,total_intl_minutes,total_intl_calls,churn
74,NV,Inferior à média,415,no,no,Inferior à média,2,4,2,3,1,2,1,1,no
75,HI,Inferior à média,415,no,no,Inferior à média,3,2,1,2,2,2,3,0,no
76,MN,Inferior à média,415,no,no,Inferior à média,2,2,2,1,2,2,1,0,no
77,DC,Inferior à média,415,no,no,Inferior à média,4,2,2,2,3,1,2,1,yes
78,NY,Igual ou superior à média,408,no,no,Inferior à média,0,3,0,1,2,2,1,2,yes
79,MN,Inferior à média,415,no,no,Inferior à média,3,1,1,2,2,3,1,0,no
80,MD,Inferior à média,408,no,no,Inferior à média,2,2,1,2,2,1,3,0,no
81,WV,Igual ou superior à média,415,no,no,Inferior à média,2,2,4,1,2,3,3,0,no
82,OR,Igual ou superior à média,415,yes,no,Inferior à média,3,2,2,1,3,2,3,1,no
83,CO,Inferior à média,408,no,yes,Igual ou superior à média,2,3,1,2,2,2,2,0,no
84,GA,Inferior à média,415,no,yes,Igual ou superior à média,3,2,3,2,2,1,2,1,no
85,TX,Igual ou superior à média,510,no,no,Inferior à média,3,2,3,1,2,1,3,0,yes
86,VT,Igual ou superior à média,510,no,yes,Igual ou superior à média,2,2,2,1,4,1,2,2,no
87,IN,Inferior à média,408,no,no,Inferior à média,2,2,1,2,2,1,1,1,yes
88,WV,Igual ou superior à média,510,no,no,Inferior à média,3,3,2,1,2,2,3,0,no
89,KY,Inferior à média,415,no,yes,Igual ou superior à média,2,2,1,1,2,0,2,3,no
90,NJ,Igual ou superior à média,415,no,no,Inferior à média,3,3,3,2,2,1,3,1,yes
91,DC,Inferior à média,510,no,no,Inferior à média,1,0,2,2,0,2,2,0,no
92,LA,Igual ou superior à média,415,no,no,Inferior à média,2,2,2,2,2,3,2,1,yes
93,AR,Inferior à média,415,no,no,Inferior à média,1,2,2,2,3,0,1,3,no
94,ME,Inferior à média,415,no,no,Inferior à média,3,2,2,2,3,2,2,2,no
95,AZ,Inferior à média,415,no,no,Inferior à média,2,1,2,1,1,2,2,2,no
96,AK,Igual ou superior à média,408,no,no,Inferior à média,4,2,0,3,1,4,2,1,no
97,MT,Inferior à média,415,no,no,Inferior à média,2,2,2,1,2,1,3,1,no
98,AZ,Inferior à média,415,no,no,Inferior à média,2,1,2,1,2,3,2,0,no
99,MS,Igual ou superior à média,408,no,no,Inferior à média,3,3,2,2,1,2,1,1,yes
100,ID,Inferior à média,415,no,no,Inferior à média,3,1,2,3,3,2,2,2,yes
101,IA,Inferior à média,510,no,yes,Igual ou superior à média,2,3,3,1,1,2,0,3,no
102,MA,Igual ou superior à média,415,no,no,Inferior à média,2,4,2,1,1,2,3,1,no
103,VT,Igual ou superior à média,415,no,no,Inferior à média,2,1,1,2,2,2,2,2,no
104,KY,Inferior à média,408,no,no,Inferior à média,1,2,2,2,3,2,3,3,no
105,IN,Igual ou superior à média,408,no,no,Inferior à média,2,2,2,2,3,1,2,0,no
106,AZ,Inferior à média,408,no,no,Inferior à média,3,0,2,2,2,3,2,1,no
107,MI,Inferior à média,510,no,yes,Igual ou superior à média,4,2,2,1,2,3,2,2,no
108,NM,Inferior à média,510,no,yes,Igual ou superior à média,1,3,1,3,2,1,2,0,no
109,CO,Igual ou superior à média,415,no,yes,Igual ou superior à média,2,2,1,2,2,4,2,0,no
110,UT,Igual ou superior à média,408,no,no,Inferior à média,3,2,1,3,3,2,2,2,no
111,MI,Igual ou superior à média,408,no,no,Inferior à média,2,2,4,1,1,1,1,3,no
112,MA,Igual ou superior à média,415,no,no,Inferior à média,2,3,2,2,2,2,3,0,no
113,AL,Inferior à média,408,no,no,Inferior à média,2,3,2,3,2,3,3,1,no
114,DE,Igual ou superior à média,408,no,no,Inferior à média,1,2,2,2,3,3,3,2,no
115,AZ,Inferior à média,415,no,no,Inferior à média,0,3,1,0,2,1,2,0,no
117,NJ,Inferior à média,510,no,no,Inferior à média,2,1,1,2,0,3,3,0,no
118,NV,Inferior à média,415,no,no,Inferior à média,4,3,2,0,1,3,2,1,yes
119,MO,Igual ou superior à média,510,no,yes,Igual ou superior à média,1,3,1,1,2,3,2,0,no
120,ID,Inferior à média,408,no,no,Inferior à média,3,3,2,2,1,1,2,1,no
121,NE,Inferior à média,408,no,no,Inferior à média,3,2,2,1,2,3,3,2,no
122,TX,Inferior à média,408,no,yes,Igual ou superior à média,3,2,1,1,1,3,1,0,no
123,MD,Igual ou superior à média,510,no,no,Inferior à média,2,2,2,3,2,2,2,1,no
124,MS,Igual ou superior à média,415,no,no,Inferior à média,2,3,1,2,1,2,2,0,no
125,NV,Igual ou superior à média,510,no,no,Inferior à média,2,3,1,2,2,3,2,1,no
126,AZ,Inferior à média,408,no,no,Inferior à média,2,0,2,2,3,2,3,0,no
127,MS,Igual ou superior à média,415,no,no,Inferior à média,0,2,1,1,1,1,2,0,yes
128,MS,Inferior à média,510,no,yes,Igual ou superior à média,2,3,1,2,2,3,1,2,yes
129,TX,Inferior à média,408,no,no,Inferior à média,1,2,2,3,2,1,2,1,no
130,NE,Igual ou superior à média,408,no,yes,Igual ou superior à média,3,3,1,3,3,2,2,1,no
131,NE,Inferior à média,415,no,no,Inferior à média,1,2,2,3,1,3,2,0,no
132,CA,Inferior à média,408,no,no,Inferior à média,2,3,1,1,3,1,1,1,no
133,NJ,Inferior à média,415,no,no,Inferior à média,3,3,2,4,3,3,2,0,no
134,TX,Inferior à média,408,no,no,Inferior à média,2,2,2,2,2,0,1,0,no
135,AR,Igual ou superior à média,408,no,no,Inferior à média,2,2,2,3,2,1,2,4,no
136,AL,Inferior à média,510,yes,no,Inferior à média,1,2,2,1,3,3,2,0,no
137,NY,Inferior à média,415,no,yes,Igual ou superior à média,2,2,2,2,3,3,1,1,no
138,FL,Inferior à média,510,no,no,Inferior à média,2,2,2,3,2,3,3,0,no
139,AK,Igual ou superior à média,510,no,yes,Igual ou superior à média,2,3,1,1,3,1,2,3,no
140,NV,Igual ou superior à média,415,no,yes,Igual ou superior à média,2,2,1,0,1,0,2,1,no
141,DE,Igual ou superior à média,510,no,no,Inferior à média,2,3,3,1,2,3,3,0,no
142,MD,Igual ou superior à média,415,no,yes,Igual ou superior à média,2,1,2,2,3,3,2,1,no
143,MI,Igual ou superior à média,415,no,yes,Igual ou superior à média,2,2,2,1,0,4,1,1,no
144,VT,Igual ou superior à média,510,no,no,Inferior à média,3,0,2,1,2,2,2,1,no
145,VT,Igual ou superior à média,408,yes,no,Inferior à média,2,1,2,1,3,3,3,2,yes
146,MI,Igual ou superior à média,415,no,no,Inferior à média,3,2,1,2,0,2,3,2,no
147,WA,Igual ou superior à média,408,no,no,Inferior à média,2,2,2,1,2,2,3,0,no
148,UT,Inferior à média,408,yes,no,Inferior à média,3,1,2,3,1,2,2,1,no
149,LA,Igual ou superior à média,408,no,no,Inferior à média,2,3,2,2,1,2,1,1,no
150,RI,Igual ou superior à média,408,no,yes,Igual ou superior à média,3,2,1,2,3,1,2,1,no
151,IA,Igual ou superior à média,408,no,no,Inferior à média,2,2,2,3,2,1,2,2,no
152,NE,Igual ou superior à média,415,no,no,Inferior à média,1,3,2,2,4,2,2,2,no
153,OH,Inferior à média,408,no,no,Inferior à média,2,3,1,3,2,1,1,2,no
154,RI,Inferior à média,415,no,no,Inferior à média,3,2,3,3,1,4,1,4,no
155,OK,Inferior à média,415,no,no,Inferior à média,3,3,1,0,3,1,2,1,no
156,LA,Igual ou superior à média,408,no,no,Inferior à média,2,3,4,4,3,2,2,1,no
157,OH,Inferior à média,415,no,no,Inferior à média,4,3,2,3,1,3,4,2,yes
158,VA,Igual ou superior à média,510,no,yes,Igual ou superior à média,2,3,3,2,3,3,3,0,no
159,MO,Inferior à média,510,no,no,Inferior à média,2,3,3,1,2,1,2,0,no
160,FL,Igual ou superior à média,510,no,yes,Igual ou superior à média,1,3,2,3,1,3,2,1,no
161,SC,Inferior à média,415,no,no,Inferior à média,1,2,2,2,1,2,1,1,no
162,VA,Igual ou superior à média,415,no,no,Inferior à média,3,2,3,2,3,2,3,2,no
163,IA,Igual ou superior à média,510,no,yes,Igual ou superior à média,2,2,3,3,2,2,2,1,no
164,MI,Inferior à média,415,no,no,Inferior à média,1,2,1,3,3,1,3,0,no
165,OK,Igual ou superior à média,415,no,no,Inferior à média,2,4,1,2,1,2,1,0,no
166,DE,Inferior à média,415,no,yes,Igual ou superior à média,3,2,2,2,2,2,3,0,no
167,GA,Igual ou superior à média,510,no,yes,Igual ou superior à média,2,3,1,3,3,3,1,0,no
168,DC,Igual ou superior à média,415,no,no,Inferior à média,2,2,3,3,3,2,2,0,no
169,AZ,Inferior à média,408,no,yes,Igual ou superior à média,2,3,2,3,0,1,3,1,no
170,AL,Inferior à média,510,no,no,Inferior à média,3,1,2,2,1,0,1,0,no
171,CO,Inferior à média,408,no,no,Inferior à média,3,2,2,2,0,1,3,0,no
172,NH,Inferior à média,408,no,yes,Igual ou superior à média,2,2,1,2,1,1,2,1,no
173,NM,Inferior à média,415,no,no,Inferior à média,1,1,2,2,3,1,2,1,no
174,OR,Inferior à média,415,no,no,Inferior à média,1,1,2,2,2,4,3,0,no
175,LA,Igual ou superior à média,408,no,no,Inferior à média,3,2,1,3,3,2,1,1,no
176,NE,Inferior à média,415,no,no,Inferior à média,3,2,1,3,1,2,2,2,no
177,MN,Inferior à média,415,no,no,Inferior à média,2,2,2,2,2,3,3,0,no
178,MI,Igual ou superior à média,415,no,no,Inferior à média,2,2,2,1,2,3,2,0,no
179,AR,Igual ou superior à média,408,no,no,Inferior à média,2,2,2,1,2,3,4,4,no
181,WV,Inferior à média,510,yes,yes,Igual ou superior à média,2,3,2,4,3,2,2,1,no
182,AK,Igual ou superior à média,415,no,no,Inferior à média,0,2,1,3,1,2,3,0,yes
184,NH,Inferior à média,408,no,no,Inferior à média,2,2,3,0,2,3,3,2,no
185,VA,Igual ou superior à média,510,yes,no,Inferior à média,3,1,3,3,1,3,1,0,no
187,NY,Igual ou superior à média,408,no,no,Inferior à média,2,1,0,4,2,2,2,1,no
188,AZ,Inferior à média,415,no,no,Inferior à média,3,1,2,2,0,3,2,0,no
189,WY,Igual ou superior à média,510,no,no,Inferior à média,2,2,1,3,2,3,2,0,no
190,WA,Inferior à média,408,no,no,Inferior à média,3,2,2,2,2,2,2,0,no
191,CO,Igual ou superior à média,415,no,no,Inferior à média,1,1,2,2,1,3,2,1,no
192,TX,Igual ou superior à média,415,no,no,Inferior à média,2,2,0,2,3,1,2,0,no
193,KY,Inferior à média,408,no,no,Inferior à média,3,1,2,1,2,3,2,1,no
194,MT,Inferior à média,415,no,no,Inferior à média,1,3,2,1,1,3,3,0,no
195,OK,Igual ou superior à média,408,no,yes,Igual ou superior à média,4,0,1,2,1,1,2,1,no
196,MD,Igual ou superior à média,415,no,yes,Igual ou superior à média,2,1,2,1,2,2,1,2,no
197,TN,Inferior à média,415,no,no,Inferior à média,2,3,2,3,3,3,2,3,no
198,TX,Igual ou superior à média,510,no,no,Inferior à média,4,1,2,3,2,2,2,2,yes
199,ME,Igual ou superior à média,510,yes,yes,Igual ou superior à média,4,2,2,2,3,3,3,2,yes
200,DC,Inferior à média,408,no,no,Inferior à média,1,0,2,2,3,2,3,0,no
201,MN,Inferior à média,415,no,yes,Igual ou superior à média,2,4,2,4,3,2,3,1,no
202,DE,Inferior à média,408,no,no,Inferior à média,2,2,4,2,3,3,2,0,no
203,MD,Inferior à média,415,no,no,Inferior à média,3,1,2,2,3,2,1,3,no
204,MI,Igual ou superior à média,510,no,no,Inferior à média,1,2,2,0,2,1,1,0,no
205,WA,Igual ou superior à média,415,no,no,Inferior à média,2,2,3,1,2,2,2,1,no
206,MO,Inferior à média,415,no,yes,Igual ou superior à média,1,1,2,1,2,3,3,0,no
207,IN,Igual ou superior à média,415,no,no,Inferior à média,3,2,0,1,2,1,3,3,no
208,OR,Inferior à média,415,no,no,Inferior à média,2,2,2,2,2,2,2,1,no
209,MD,Igual ou superior à média,510,no,no,Inferior à média,3,2,1,1,3,3,3,1,no
210,RI,Inferior à média,510,no,no,Inferior à média,3,2,3,2,2,2,4,2,no
211,LA,Inferior à média,415,no,no,Inferior à média,3,1,1,2,2,2,2,4,no
212,AZ,Igual ou superior à média,510,yes,no,Inferior à média,2,2,3,2,2,2,3,4,no
213,PA,Inferior à média,415,no,yes,Igual ou superior à média,2,3,3,2,1,1,2,0,no
214,AZ,Inferior à média,408,no,yes,Igual ou superior à média,2,4,1,3,3,3,3,2,no
215,FL,Inferior à média,510,yes,no,Inferior à média,3,2,2,3,0,2,4,1,yes
216,LA,Inferior à média,415,no,no,Inferior à média,2,2,2,2,2,3,2,2,no
217,FL,Inferior à média,415,no,no,Inferior à média,2,1,2,1,2,3,2,0,no
218,FL,Igual ou superior à média,415,no,no,Inferior à média,2,1,2,1,3,2,0,2,no
219,MD,Igual ou superior à média,415,no,no,Inferior à média,3,3,3,3,1,3,3,0,yes
221,WA,Inferior à média,415,no,no,Inferior à média,2,3,1,2,2,2,3,2,no
222,TN,Igual ou superior à média,408,no,yes,Igual ou superior à média,2,3,2,2,3,1,2,2,no
223,MS,Inferior à média,415,no,no,Inferior à média,1,2,3,2,2,2,0,0,no
224,ME,Inferior à média,408,no,no,Inferior à média,2,3,3,3,2,2,2,2,no
225,OK,Inferior à média,408,no,no,Inferior à média,0,2,1,1,3,3,3,0,no
226,IN,Inferior à média,415,no,no,Inferior à média,3,2,3,2,3,3,0,1,no
227,MO,Igual ou superior à média,415,no,no,Inferior à média,2,1,3,1,2,4,1,0,no
228,IA,Igual ou superior à média,408,no,yes,Igual ou superior à média,2,1,2,1,0,4,2,0,no
229,VA,Igual ou superior à média,415,no,yes,Igual ou superior à média,4,3,2,2,1,2,3,0,no
230,KY,Inferior à média,415,no,yes,Igual ou superior à média,2,1,4,2,1,2,3,0,no
231,MD,Inferior à média,408,yes,no,Inferior à média,4,2,1,2,2,1,2,0,yes
232,OH,Inferior à média,415,yes,yes,Igual ou superior à média,2,2,4,2,2,2,2,2,no
233,OK,Inferior à média,415,no,no,Inferior à média,2,2,2,3,2,3,3,0,no
234,NV,Inferior à média,415,no,no,Inferior à média,2,2,2,1,1,3,2,0,no
235,ID,Inferior à média,415,yes,no,Inferior à média,2,4,3,2,3,3,2,1,no
236,MN,Igual ou superior à média,510,no,no,Inferior à média,1,2,2,2,2,3,2,0,yes
237,SD,Igual ou superior à média,408,no,yes,Igual ou superior à média,2,2,1,3,3,2,2,3,no
238,IL,Igual ou superior à média,408,no,no,Inferior à média,0,3,2,2,2,2,2,2,no
239,WY,Igual ou superior à média,510,no,no,Inferior à média,1,4,1,2,2,2,2,3,no
240,AL,Inferior à média,415,no,no,Inferior à média,2,1,1,3,1,1,2,2,no
241,NJ,Igual ou superior à média,510,no,no,Inferior à média,3,1,0,3,2,1,3,1,no
242,NV,Igual ou superior à média,415,yes,no,Inferior à média,1,2,1,2,2,1,3,0,yes
243,IN,Inferior à média,415,no,no,Inferior à média,3,1,2,4,3,2,1,0,no
244,WV,Inferior à média,408,no,no,Inferior à média,3,1,2,0,2,2,1,0,no
246,SC,Inferior à média,408,no,no,Inferior à média,1,2,1,2,2,2,2,1,no
247,RI,Igual ou superior à média,415,no,yes,Igual ou superior à média,0,2,0,1,3,2,2,0,no
248,IN,Inferior à média,510,no,no,Inferior à média,3,2,1,0,3,1,2,1,no
249,AZ,Inferior à média,408,no,no,Inferior à média,2,1,2,2,3,2,2,0,no
250,NM,Igual ou superior à média,510,no,yes,Igual ou superior à média,2,3,3,4,2,3,2,1,no
251,OR,Inferior à média,415,no,yes,Igual ou superior à média,2,2,1,1,3,1,3,4,yes
252,NJ,Igual ou superior à média,415,no,no,Inferior à média,2,2,2,2,2,4,3,2,no
253,MS,Inferior à média,408,no,no,Inferior à média,2,2,3,1,2,2,2,3,no
254,MI,Inferior à média,510,no,yes,Igual ou superior à média,1,2,2,3,3,0,2,0,no
255,TX,Inferior à média,415,yes,no,Inferior à média,1,3,3,1,2,1,2,0,no
256,FL,Igual ou superior à média,408,no,yes,Igual ou superior à média,2,3,2,2,2,1,3,3,no
257,DC,Igual ou superior à média,510,no,no,Inferior à média,1,3,2,3,3,2,2,0,no
258,TX,Igual ou superior à média,415,no,no,Inferior à média,1,3,3,1,2,2,3,3,no
259,KS,Inferior à média,408,yes,no,Inferior à média,0,2,2,3,2,1,2,0,yes
260,UT,Inferior à média,510,no,no,Inferior à média,2,1,3,3,1,1,2,1,no
261,MN,Inferior à média,510,no,yes,Igual ou superior à média,2,2,2,2,2,0,1,3,no
262,IL,Igual ou superior à média,408,no,no,Inferior à média,1,1,1,2,2,0,4,0,no
263,NM,Igual ou superior à média,415,no,no,Inferior à média,1,2,2,2,2,2,2,0,no
264,SC,Inferior à média,510,no,no,Inferior à média,2,2,2,1,3,4,3,0,no
265,NC,Igual ou superior à média,408,no,no,Inferior à média,3,0,2,3,1,1,1,2,no
266,WV,Igual ou superior à média,510,no,yes,Igual ou superior à média,2,1,3,2,3,1,2,2,no
267,RI,Igual ou superior à média,510,no,yes,Igual ou superior à média,3,2,2,3,3,2,1,3,no
268,NH,Igual ou superior à média,408,no,no,Inferior à média,1,1,2,1,3,2,3,2,no
269,MO,Inferior à média,510,no,yes,Igual ou superior à média,1,2,1,2,1,2,0,1,no
270,MA,Igual ou superior à média,408,yes,no,Inferior à média,2,3,2,2,2,2,2,0,no
271,PA,Igual ou superior à média,415,no,no,Inferior à média,2,2,2,3,3,2,3,0,no
272,OK,Igual ou superior à média,415,no,no,Inferior à média,1,3,2,1,2,2,1,0,no
274,WY,Igual ou superior à média,415,no,no,Inferior à média,2,2,3,2,2,2,3,0,no
275,PA,Inferior à média,408,no,yes,Igual ou superior à média,2,2,2,1,3,3,2,0,no
276,WA,Inferior à média,415,no,no,Inferior à média,3,2,3,2,1,2,2,1,no
277,HI,Igual ou superior à média,510,yes,no,Inferior à média,3,1,2,1,2,2,2,1,no
278,SD,Igual ou superior à média,408,no,yes,Igual ou superior à média,2,2,1,1,2,2,1,0,yes
279,AL,Igual ou superior à média,415,no,yes,Igual ou superior à média,2,1,2,2,3,0,2,2,no
280,VT,Igual ou superior à média,510,yes,no,Inferior à média,2,3,2,2,2,3,2,2,no
281,MT,Igual ou superior à média,415,no,no,Inferior à média,2,2,2,2,2,3,3,1,no
282,MN,Inferior à média,415,no,no,Inferior à média,2,2,2,2,2,1,2,2,no
283,AK,Inferior à média,415,no,yes,Igual ou superior à média,3,3,1,1,1,1,3,0,no
284,MI,Inferior à média,415,no,yes,Igual ou superior à média,3,1,3,2,3,2,2,0,no
285,DE,Inferior à média,415,no,no,Inferior à média,2,2,2,2,3,0,1,1,no
286,SD,Igual ou superior à média,408,no,yes,Igual ou superior à média,2,2,2,2,3,2,4,0,no
287,MI,Igual ou superior à média,510,no,no,Inferior à média,2,3,1,2,2,1,2,1,no
288,KS,Igual ou superior à média,408,no,no,Inferior à média,2,1,2,1,3,1,3,1,no
289,AL,Igual ou superior à média,510,no,no,Inferior à média,2,1,1,0,3,2,3,1,no
290,OK,Inferior à média,510,no,no,Inferior à média,4,2,3,3,4,2,1,0,yes
291,CT,Igual ou superior à média,415,no,yes,Igual ou superior à média,3,3,2,2,4,2,1,0,no
292,NE,Igual ou superior à média,510,no,no,Inferior à média,1,2,1,1,1,3,2,0,no
293,WI,Inferior à média,510,no,no,Inferior à média,2,2,2,2,1,2,1,1,no
294,CT,Inferior à média,415,no,yes,Igual ou superior à média,2,2,1,3,2,1,2,1,yes
295,WI,Inferior à média,510,no,yes,Igual ou superior à média,2,1,1,3,3,1,2,0,no
296,IN,Igual ou superior à média,510,no,no,Inferior à média,2,3,2,4,2,2,2,1,no
297,DC,Inferior à média,415,no,no,Inferior à média,1,1,3,1,1,1,2,1,no
298,AR,Inferior à média,415,no,no,Inferior à média,2,3,2,0,3,2,3,0,no
299,ME,Igual ou superior à média,415,no,no,Inferior à média,3,3,2,3,2,2,1,3,no
300,MN,Inferior à média,415,no,no,Inferior à média,2,2,2,1,3,3,1,1,no
301,MD,Inferior à média,415,no,no,Inferior à média,2,1,1,1,2,2,3,1,no
303,RI,Igual ou superior à média,408,no,no,Inferior à média,2,2,4,1,4,1,2,0,yes
304,IA,Igual ou superior à média,415,no,no,Inferior à média,2,2,4,3,3,2,2,1,no
305,AZ,Igual ou superior à média,510,no,no,Inferior à média,1,3,3,1,2,2,2,4,no
306,MO,Igual ou superior à média,415,no,no,Inferior à média,3,2,3,3,2,1,2,1,no
307,VT,Igual ou superior à média,415,no,no,Inferior à média,3,2,3,3,2,2,1,4,yes
308,IN,Igual ou superior à média,408,no,no,Inferior à média,4,2,2,2,1,2,2,0,yes
309,RI,Igual ou superior à média,510,no,no,Inferior à média,2,2,2,1,2,2,2,0,no
310,SD,Igual ou superior à média,415,no,no,Inferior à média,3,3,3,2,2,1,2,1,no
311,MN,Inferior à média,415,no,no,Inferior à média,3,2,2,3,3,1,3,0,yes
312,TX,Igual ou superior à média,415,no,yes,Igual ou superior à média,3,2,2,2,2,1,2,2,no
313,VA,Inferior à média,510,no,no,Inferior à média,2,1,1,2,2,0,2,0,no
